,Sediment,Water,Unknown,type
MXL2.1,0.455617463816156,0.378272981086351,0.166109555097493,Leaf
BBL2.6,0.506870944995357,0.329712163333333,0.163416891671309,Leaf
BCL2.6,0.00622096019498502,0.965923879015787,0.0278551607892281,Leaf
BCL1.20,0.0999071584865354,0.820519953138349,0.0795728883751153,Leaf
SFL2.20,0.123398338625812,0.573166194419685,0.303435466954503,Leaf
BBL2.1,0.214020433667594,0.759610007103067,0.0263695592293391,Leaf
ORL1.1,0.283936857270195,0.411420615738162,0.304642526991643,Leaf
BBL1.6,0.09322192,0.62330547,0.28347261,Leaf
BCL1.6,0.00807798976787106,0.739832862692668,0.252089147539461,Leaf
BBL1.20,0.0430826401671301,0.78830082979573,0.16861653003714,Leaf
BCL2.20,0.0353760409099341,0.854131865775304,0.110492093314762,Leaf
SFL2.1,0.139275769619312,0.699628600037141,0.161095630343546,Leaf
WAL2.1,0.0622098505571031,0.671309196991644,0.266480952451253,Leaf
MXL1.6,0.120984211077065,0.44447539452182,0.434540394401114,Leaf
WAL2.6,0.106778099767873,0.795728860157847,0.0974930400742802,Leaf
BCL1.1,0.0351903495821712,0.833611881940578,0.131197768477251,Leaf
SDL2.1,0.023955440482822,0.832126286648098,0.14391827286908,Leaf
FIL2.1,0.00334260020427002,0.879480062776233,0.117177337019497,Leaf
WAL2.20,0.0563602595264621,0.794800362061282,0.148839378412256,Leaf
SFL2.6,0.04623956,0.89554319,0.05821725,Leaf
BCL2.1,0.00974930987929401,0.934818940631384,0.0554317494893221,Leaf
SFL1.6,0.00222840009285001,0.900185717966575,0.0975858819405752,Leaf
FRL2.6,0.013927589990714,0.958774380334264,0.0272980296750221,Leaf
SFL1.1,0.00222840009285001,0.90074280795729,0.0970287919498602,Leaf
